N	d	w	gamma	q0	q0_mod_8	B_e	beta	embedded_key_rank	tail_factor	rhf_target	attempt_target	n	ell	p	p_bits	p_mod_8	q	log2_q	hat_n	hat_k	hat_q	hat_q_bits	hat_q_mod_8	hat_q_lower_bound	K_b	K_a	s_c	rej1_constant	q_tilde	profile	phi_a	phi_s	phi_m	phi_m_constraint_lhs	phi_m_constraint_rhs	phi_b	tau_g0	tau_g1	epsilon_g_upper	epsilon_cmp_modelled	compression_joint_pass_residues	B_a	mathcal_B	B_s	eta_m	B_response	sigma_s	sigma_m	beta_sis_1	beta_sis	beta_sis_bound_1_4wgamma_beta_sis_1	beta_sis_bound_2_beta_sis_1_plus_2B_response	beta_sis_active_bound	beta_sis_2	beta_sis_2_q_requirement	twelve_sigma_s	twelve_sigma_m	outer_msis_mr09_lhs	outer_msis_mr09_rhs	outer_auxiliary_msis2_delta_required	outer_auxiliary_msis2_mr09_lhs	outer_auxiliary_msis2_mr09_rhs	B_g_0	B_g_1	beta_sel_inf	selector_six_widths	selector_six_raw_bounds	selector_six_inf_bounds	selector_merged_widths	selector_merged_raw_bounds	selector_merged_inf_bounds	mu_a	mu_b	mu_s	mu_m	epsilon_a_tail	epsilon_b_tail	epsilon_s_tail	epsilon_m_tail	epsilon_2	epsilon_2_log2	epsilon_2_dimension	joint_response_success	success_denominator	repeat_bound	oom_kb	oom_total_bits	oom_challenge_bits	oom_B_bits	oom_z_bits	oom_zb_bits	oom_zs_bits	oom_zm_bits	oom_f_bits	outer_mlwr_delta	outer_mlwr_blocksize	outer_mlwr_arora_gb_bits	outer_hiding_mlwe_delta	outer_hiding_mlwe_blocksize	selector_hiding_mlwe_delta	selector_hiding_mlwe_blocksize	selector_binding_asis_delta	selector_binding_asis_blocksize	selector_binding_asis_cost_bits_diagnostic	all_checks_pass
8	32	32	16	61	5	30	1	1	6	1.00469	10	44	54	17592186043877	44	5	1073123348676497	49.930737337519	42	46	8796093022237	44	5	4838131712	5	28	3	12	67107713	m3_pa32_ps26_pb2	32	26	32	66730968.017051875591	67107713	2	3.14	2.68	0.007953415163	0.078766056296	8795556102171	128	19643.725919488897	860160	86889.281272202963	583259.46956050361	22364160	2780457.000710494816	3005743104	6.155761876992e+12	6.155761876992e+12	3006909622.939120769501	4w_gamma_beta_sis_1	3005980135.382326602936	3005980135.382326602936	268369920	33365484.008525937796	1.305185756069e+13	1.231152375398e+13	1.002546584985	1.836017079886e+13	6011960270.764653205872	3933474215.253333568573	719407022.080000042915	8.055755192839e+12	46|1|7|1|7|42	235724.71103386677|172048|24576|3933474215.253333568573|719407022.080000042915|268435456	482764208.197359144688|352354304|50331648|8.055755192839e+12|1.473345581220e+12|549755813888	46|8|1|7|42	235724.71103386677|172048|3933474215.253333568573|719407022.080000042915|268435456	482764208.197359144688|352354304|8.055755192839e+12|1.473345581220e+12|549755813888	1.455702033122	2.266296906134	1.587686787863	1.455702033122	6.823030925631e-06	4.483706036843e-05	9.552243295884e-05	9.747187036616e-07	1.368467099534e-49	-162.321915899403	3168	0.999903502941	0.913771590668	8.34428179357	20.133209060563	164931.248624128784	160	52416	83731.650562801369	25477.262302238993	82981.153526729264	750.497036072104	3146.335759088417	1.004647519883	319	3253.508200535606	1.004469578413	338	1.00468705157	315	1.004667190992	317	84.086582596757	yes
16	32	32	16	61	5	30	1	1	6	1.00469	10	41	59	281474976710597	48	5	17169973579346417	53.930737337563	43	49	35184372088997	46	5	7557613568	5	28	3	12	67107713	m3_pa40_ps22_pb2	40	22	32	66730968.017051875591	67107713	2	3.09	3.08	0.007791314964	0.08056203689	35182224457891	128	20274.165630180691	868892.81272202963	86889.281272202963	563546.191782004666	19115641.879884652793	2780457.000710494816	2595225600	5.315022028800e+12	5.315022028800e+12	2596352692.383563995361	4w_gamma_beta_sis_1	2595500121.742427825928	2595500121.742427825928	229387702.558615833521	33365484.008525937796	1.438844279434e+13	1.063004405760e+13	1.002493211871	2.077354878130e+13	5191000243.484855651855	12960399360	1291845632	2.654289788928e+13	49|1|15|1|15|43	243289.987562168273|460816|30720|12960399360|1291845632|268435456	498257894.527320623398|943751168|62914560|2.654289788928e+13|2.645699854336e+12|549755813888	49|16|1|15|43	243289.987562168273|460816|12960399360|1291845632|268435456	498257894.527320623398|943751168|2.654289788928e+13|2.645699854336e+12|549755813888	1.350280704371	2.266296906134	1.727175824702	1.455702033122	1.462078055492e-05	4.776121647942e-05	9.747187036616e-05	9.747187036616e-07	1.181984795926e-50	-165.855193266368	3232	0.999901553506	0.912127618885	8.435178948968	21.409119640955	175383.508098702034	160	56416	84700.551726561374	27210.282831405242	83950.054690489269	750.497036072104	6896.6735407354	1.004618362335	322	3542.377770741416	1.004364890621	350	1.004608734875	323	1.00467709742	316	83.821325238407	yes
64	32	32	16	61	5	30	1	1	6	1.00469	10	44	54	17592186043877	44	5	1073123348676497	49.930737337519	50	51	140737488355333	48	5	5461379072	5	28	3	12	67107713	m3_pa34_ps24_pb2	34	24	32	66730968.017051875591	67107713	2	3.05	3.33	0.008953918582	0.09304766034	140728897880067	128	20683.786113765535	860160	86889.281272202963	583259.46956050361	20643840	2780457.000710494816	2774532096	5.682241732608e+12	5.682241732608e+12	2775698614.939120769501	4w_gamma_beta_sis_1	2774788878.239883422852	2774788878.239883422852	247726080	33365484.008525937796	1.305185756069e+13	1.136448346522e+13	1.002528492401	1.836017079886e+13	5549577756.479766845703	38819227238.400001525879	1009118085.120000004768	7.950177738424e+13	51|1|63|1|63|50	248205.433365186414|1645072|26112|38819227238.400001525879|1009118085.120000004768|268435456	508324727.531901776791|3369107456|53477376|7.950177738424e+13|2.066673838326e+12|549755813888	51|64|1|63|50	248205.433365186414|1645072|38819227238.400001525879|1009118085.120000004768|268435456	508324727.531901776791|3369107456|7.950177738424e+13|2.066673838326e+12|549755813888	1.423863145128	2.266296906134	1.650153073711	1.455702033122	6.140727833068e-05	4.971065388674e-05	9.552243295884e-05	9.747187036616e-07	1.343435212209e-49	-162.348549901095	3168	0.999903502941	0.898644963727	8.625685740071	25.535994066824	209190.863395421824	160	68800	83369.514008972459	28368.002466692928	82619.016972900354	750.497036072104	28493.346919756445	1.004647519883	319	3253.508200535606	1.004469578413	338	1.004657331931	318	1.004628035429	321	85.147612030154	yes
128	32	32	16	61	5	30	1	1	6	1.00469	10	45	54	17592186043877	44	5	1073123348676497	49.930737337519	49	51	140737488355333	48	5	2722629632	5	28	3	12	67107713	m3_pa24_ps34_pb2	24	34	32	66730968.017051875591	67107713	2	3.09	3.58	0.007711269632	0.091274372163	140728897880067	128	20683.786113765535	864537.43285065447	86889.281272202963	589695.9861080962	29394272.71692225337	2780457.000710494816	3970695168	8.131983704064e+12	8.131983704064e+12	3971874559.972216129303	4w_gamma_beta_sis_1	3970874599.411085128784	3970874599.411085128784	352731272.603067040443	33365484.008525937796	1.836017079886e+13	1.626396740813e+13	1.002553212746	2.573021054835e+13	7941749198.822170257568	39503297249.279998779297	540561899.519999980927	8.090275276653e+13	51|1|127|1|127|49	248205.433365186414|2340880|18432|39503297249.279998779297|540561899.519999980927|268435456	508324727.531901776791|4794122240|37748736|8.090275276653e+13|1.107070770217e+12|549755813888	51|128|1|127|49	248205.433365186414|2340880|39503297249.279998779297|540561899.519999980927|268435456	508324727.531901776791|4794122240|8.090275276653e+13|1.107070770217e+12|549755813888	1.650153073711	2.266296906134	1.423863145128	1.455702033122	0.000123789275	4.971065388674e-05	9.649715166250e-05	9.747187036616e-07	4.289402350829e-50	-163.995628095608	3200	0.999902528224	0.901473880178	8.598617463525	28.952209111905	237176.497044725431	160	67424	85827.686774497546	28368.002466692928	85077.189738425441	750.497036072104	55396.807803534924	1.004647519883	319	3253.508200535606	1.004487582246	336	1.004657331931	318	1.00468705157	315	83.556067880058	yes
256	32	32	16	61	5	30	1	1	6	1.00469	10	42	59	281474976710597	48	5	17169973579346417	53.930737337563	48	52	281474976710677	49	5	2288125952	5	28	3	12	67107713	m3_pa22_ps40_pb2	22	40	32	66730968.017051875591	67107713	2	3.06	3.84	0.008518570968	0.089497535404	281457795776531	128	20885.583927676045	873226.469594228431	86889.281272202963	570205.276608345681	34929058.783769138157	2780457.000710494816	4765777920	9.760313180160e+12	9.760313180160e+12	4766918330.553216934204	4w_gamma_beta_sis_1	4765927417.599761009216	4765927417.599761009216	419148705.405229687691	33365484.008525937796	2.077354878130e+13	1.952062636032e+13	1.002569436984	2.986206641800e+13	9531854835.199522018433	66001777459.200004577637	487210352.639999985695	1.351716402364e+14	52|1|255|1|255|48	250627.007132112543|4308496|16896|66001777459.200004577637|487210352.639999985695|268435456	513284110.606566488743|8823799808|34603008|1.351716402364e+14|997806802206.719970703125|549755813888	52|256|1|255|48	250627.007132112543|4308496|66001777459.200004577637|487210352.639999985695|268435456	513284110.606566488743|8823799808|1.351716402364e+14|997806802206.719970703125|549755813888	1.727175824702	2.266296906134	1.350280704371	1.455702033122	0.000248553269	5.068537259040e-05	9.844658906982e-05	9.747187036616e-07	3.922950438392e-51	-167.446393730386	3264	0.999900578788	0.902386434262	8.526235986558	36.040998993483	295247.863754608901	160	67584	88350.839038157428	28947.545770150202	87600.342002085323	750.497036072104	110205.478946301257	1.004618362335	322	3542.377770741416	1.004381952541	348	1.004667190992	317	1.004657331931	318	84.351839955106	yes
